ham	Go until jurong point crazy.. Available only in bugis n great world la e buffet.. Hardly goes through 7 ay buffet nights.
ham	Ok lar... Joking wif u oni...
spam	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121. Chgs.Std txt rate.1.50 to withdraw. www.txttowin.com txt STOP to end. 100% GUARANTEED for Validity! Months!
ham	U dun say so early hor... U c already then say...
ham	Nah I don't think he goes to usf he lives around here though
spam	FreeMsg Hey there darling it's been while since we spoke and I wanted to end the previous conversation on my terms. CLICK HERE www.iwantyou.co.uk When you have arrived at login simply enter the password as it was assigned to you to enter in the online system. I look forward to our little private moment and bidding you toodooloo. Perhaps I'll tell you exactly what it is about me that fine...
ham	Even my brother is not like to speak with cars
ham	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam	WINNER!! As a valued network customer you have been selected to receivea 4* RODEO HOTEL stay, all meals and entertainment included. Shall the new card be sent to your real address, or any mailbox you wish?
spam	Had your mobile 11 months or more? U R now entitled to Update to the latest colour mobiles with camera for Free. Call The Mobile Update Co FREE on 08002986030
